S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
66882,2,3.21,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,2,2.5,3.25,3.2,2.5,3.3
66886,1,2.8,1,80063,มุสลิมสันติธรรมมูลนิธิ,80,นครศรีธรรมราช,S,0,1,2.25,2.5,2.8,2.3,2.5
66894,0,2.51,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,2,2.5,2.75,2.5,2.5,2.8
66912,0,2.63,1,80054,ปากพูน,80,นครศรีธรรมราช,S,0,1,1.5,2.57,2.6,1.5,2.6
66927,0,2.43,1,99840001,เทศบาล 5,84,สุราษฎร์ธานี,S,0,3,3.12,3.25,2.4,3.1,3.3
66946,2,2.22,1,84110,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,3,2.25,1.5,2.2,2.3,1.5
66952,2,2.73,1,94105,วิทยาลัยอาชีวศึกษาปัตตานี,94,ปัตตานี,S,0,1,4,2.25,2.7,4,2.3
66953,2,2.31,0,91011,พิมานพิทยาสรรค์,91,สตูล,S,0,0,1.47,2.25,2.3,1.5,2.3
66994,1,2.45,1,80111,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,2.25,2.25,2.5,2.3,2.3
66999,2,2.16,1,7,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอระโนด,90,สงขลา,S,0,2,2.1,3,2.2,2.1,3
67029,2,2.87,0,99840040,ธิดาแม่พระ,84,สุราษฎร์ธานี,S,0,3,2.76,2.68,2.9,2.8,2.7
67035,2,3.33,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,3.5,3,3.3,3.5,3
67051,1,2.89,1,90117,บริหารธุรกิจวิทยา,90,สงขลา,S,0,2,2,2.5,2.9,2,2.5
67052,0,3.28,0,410102,สตรีราชินูทิศ,41,อุดรธานี,EN,0,3,3.58,3.46,3.3,3.6,3.5
67059,3,2.87,1,80018,ฉวางรัชดาภิเษก,80,นครศรีธรรมราช,S,0,2,1.51,2.12,2.9,1.5,2.1
67064,2,2.97,1,84102,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอเมืองสุราษฏร์ธานี,84,สุราษฎร์ธานี,S,0,1,2,3.5,3,2,3.5
