S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
65942,DCA,22,สารสนเทศศาสตร์,2.3,2.84,2559,2562,2,2,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,3,2
65949,DCM,22,สารสนเทศศาสตร์,3.08,2.61,2559,2562,3,1,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,3,1
65950,ITD,22,สารสนเทศศาสตร์,3.4,2.88,2559,2562,3,1,เขาพนมแบกศึกษา,สุราษฎร์ธานี,S,BDA,3,1
65956,MTA,22,สารสนเทศศาสตร์,2.53,2.5,2559,2563,1,0,วรนารีเฉลิม จังหวัดสงขลา,สงขลา,S,BDA,3,1
65995,MTA,22,สารสนเทศศาสตร์,2.68,2.86,2559,2564,3,0,หาดใหญ่วิทยาลัย 2,สงขลา,S,BDA,3,1
65996,MTA,22,สารสนเทศศาสตร์,3.54,3.6,2559,2562,2,1,คันธพิทยาคาร,ตรัง,S,BDA,3,1
65999,MTA,22,สารสนเทศศาสตร์,2.27,2.29,2559,2563,3,2,นวมินทราชูทิศ ทักษิณ,สงขลา,S,BDA,3,2
66223,DCA,22,สารสนเทศศาสตร์,2.46,2.56,2559,2562,3,2,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,3,2
66017,MTA,22,สารสนเทศศาสตร์,2.97,3.04,2559,2562,3,1,ปากพนัง,นครศรีธรรมราช,S,BDA,3,3
66022,MTA,22,สารสนเทศศาสตร์,2.22,2.24,2559,2563,1,1,เทพมิตรศึกษา,สุราษฎร์ธานี,S,BDA,3,0
66042,DCA,22,สารสนเทศศาสตร์,2.22,2.04,2559,2562,3,1,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,3,3
66055,ITD,22,สารสนเทศศาสตร์,2.48,2.52,2559,2562,3,1,กันตังพิทยากร,ตรัง,S,BDA,3,1
66058,MTA,22,สารสนเทศศาสตร์,2.68,2.55,2559,2562,2,1,ปากพนัง,นครศรีธรรมราช,S,BDA,3,1
66262,DCM,22,สารสนเทศศาสตร์,3.28,2.56,2559,2562,3,2,วรนารีเฉลิม จังหวัดสงขลา,สงขลา,S,BDA,3,2
66066,DCA,22,สารสนเทศศาสตร์,2.31,2.68,2559,2562,2,1,พิปูนสังฆรักษ์ประชาอุทิศ,นครศรีธรรมราช,S,BDA,3,2
66077,ITD,22,สารสนเทศศาสตร์,2.85,2.32,2559,2562,3,1,ขนอมพิทยา,นครศรีธรรมราช,S,BDA,3,1
66089,DCA,22,สารสนเทศศาสตร์,2.83,2.99,2559,2562,2,1,สิชลคุณาธารวิทยา,นครศรีธรรมราช,S,BDA,3,1
66092,DCA,22,สารสนเทศศาสตร์,2.55,2.35,2559,2562,2,1,พรหมคีรีพิทยาคม,นครศรีธรรมราช,S,BDA,3,3
66140,ITD,22,สารสนเทศศาสตร์,2.05,2.21,2559,2562,3,1,เชียรใหญ่,นครศรีธรรมราช,S,BDA,3,2
66131,DCM,22,สารสนเทศศาสตร์,2.39,2.38,2559,2563,1,0,พิมานพิทยาสรรค์,สตูล,S,BDA,3,3
66156,ITD,22,สารสนเทศศาสตร์,2.64,2.91,2559,2562,3,1,ท่าศิลาบำรุงราษฎร์,สตูล,S,BDA,3,1
66220,DCA,22,สารสนเทศศาสตร์,2.43,2.44,2559,2562,3,1,ขนอมพิทยา,นครศรีธรรมราช,S,BDA,3,1
66236,DCM,22,สารสนเทศศาสตร์,3.28,2.28,2559,2562,3,2,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,3,2
66244,DCA,22,สารสนเทศศาสตร์,2.54,2.44,2559,2562,2,1,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,3,2
