S_ID,BRANCH,GPA,RANK,S_ID,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT
67236,1,3.35,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
67523,0,2.62,0,70508,นารีวุฒิ,70,ราชบุรี,6,0,2
67684,2,3.35,1,92010,ทุ่งหนองแห้งประชาสรรค์,92,ตรัง,5,0,3
67750,0,2.27,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
67796,0,2.28,1,93030,หารเทารังสีประชาสรรค์,93,พัทลุง,5,0,2
67859,3,2.08,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,5,0,1
67863,2,2.3,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,1
67890,0,2.32,1,92022,สภาราชินี 2,92,ตรัง,5,0,2
67946,2,2.94,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
67958,2,2.86,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,0,2
67963,2,3.33,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
67969,0,2.16,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
67971,0,2.56,1,90307,จริยธรรมศึกษามูลนิธิ,90,สงขลา,5,0,1
67975,0,3.18,1,8,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอหัวไทร,80,นครศรีธรรมราช,5,0,2
68028,2,2.27,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
68035,2,2.98,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
68051,2,2.18,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
68066,3,2.98,1,3801109,กีฬาจังหวัดนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
68073,2,3.07,1,6,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอกาญจนดิษฐ์,84,สุราษฎร์ธานี,5,0,3
68132,2,2.88,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,5,0,2
68266,0,2.34,0,95015,สตรียะลา,95,ยะลา,5,0,1
68310,1,2.53,1,95107,วิทยาลัยเทคนิคยะลา,95,ยะลา,5,0,2
68565,1,2.14,1,70502,สารสิทธิ์พิทยาลัย,70,ราชบุรี,6,0,2
69578,0,2.9,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
69584,0,2.55,1,80085,มัธยมศึกษาจุฬาภรณ์,80,นครศรีธรรมราช,5,0,1
69607,0,2.29,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,1
69630,0,2.63,1,84012,ดอนสักผดุงวิทย์,84,สุราษฎร์ธานี,5,0,1
69633,2,3.14,0,90019,นวมินทราชูทิศ ทักษิณ,90,สงขลา,5,0,1
69657,2,3.39,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
69709,2,3.26,1,70601,บางแพปฐมพิทยา,70,ราชบุรี,6,0,3
69742,3,2.45,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
69737,2,3.36,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,5,0,3
69773,2,2.16,1,93017,ป่าพะยอมพิทยาคม,93,พัทลุง,5,0,3
69809,1,3.36,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,2
69810,2,3.06,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,5,0,3
69818,0,2.51,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,5,0,1
69855,2,2.76,1,92006,ตรังคริสเตียนศึกษา,92,ตรัง,5,0,1
69860,2,3.29,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,5,0,3
69863,1,3.53,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,5,0,3
69893,2,3.16,0,90031,วรนารีเฉลิม จังหวัดสงขลา,90,สงขลา,5,0,3
