SD_ID,BRANCH,F_ID,F_NAME,GPA,ENTRY-GPA,STATUS,ADMITACADYEAR,ACADYEAR,SEMESTER,STUDENTSTATUS.STUDENTSTATUS,S_NAME,S_TYPE,PID,P_NAME,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME,,,,
65699,MTA,22,INFO,2.62,2.74,40,2559,2562,2,40,ตรังวิทยา,โรงเรียนทั่วไป,92,ตรัง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65708,MTA,22,INFO,2.8,2.78,40,2559,2562,2,40,ทุ่งสง,โรงเรียนมีชื่อเสียง,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65717,DCA,22,INFO,2.5,2.21,40,2559,2562,3,40,เทพมิตรศึกษา,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65733,DCA,22,INFO,2.98,3.12,40,2559,2562,2,40,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,โรงเรียนมีชื่อเสียง,83,ภูเก็ต,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65746,DCA,22,INFO,2.33,2.14,40,2559,2562,2,40,หาดใหญ่พิทยาคม,โรงเรียนทั่วไป,90,สงขลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65760,DCA,22,INFO,2.63,2.66,40,2559,2562,2,40,คลองยางประชานุสรณ์,โรงเรียนทั่วไป,81,กระบี่,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65782,DCA,22,INFO,2.94,2.57,40,2559,2562,3,40,กัลยาณีศรีธรรมราช,โรงเรียนมีชื่อเสียง,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65795,MTA,22,INFO,2.68,3.19,40,2559,2562,3,40,ดารุสสาลาม,โรงเรียนทั่วไป,96,นราธิวาส,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65827,DCM,22,INFO,3.78,2.48,40,2559,2562,3,40,ปากพนัง,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65830,DCA,22,INFO,2.1,2.45,40,2559,2562,2,40,ฉวางรัชดาภิเษก,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65836,IT,22,INFO,3.03,2.4,40,2559,2562,3,40,เมืองสุราษฎร์ธานี,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
